STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,X,Y,geometry
51,41,100926,1400000US51041100926,51041100926,1009.26,Census Tract 1009.26,VA,Chesterfield County,Virginia,CT,15447772,125265,-77.62368907,37.54395099,POINT (-77.62368907127822 37.54395098791658)
51,760,10500,1400000US51760010500,51760010500,105,Census Tract 105,VA,Richmond city,Virginia,CT,800398,0,-77.43829649,37.57986099,POINT (-77.43829648845615 37.5798609880481)
51,41,100211,1400000US51041100211,51041100211,1002.11,Census Tract 1002.11,VA,Chesterfield County,Virginia,CT,1982943,0,-77.51523352,37.46884745,POINT (-77.51523351543344 37.468847449319576)
51,760,11000,1400000US51760011000,51760011000,110,Census Tract 110,VA,Richmond city,Virginia,CT,1303765,0,-77.42977247,37.56257549,POINT (-77.42977247186138 37.56257549498293)
51,41,100702,1400000US51041100702,51041100702,1007.02,Census Tract 1007.02,VA,Chesterfield County,Virginia,CT,27221673,322251,-77.46611795,37.2606962,POINT (-77.46611794810781 37.26069619784386)
51,41,100929,1400000US51041100929,51041100929,1009.29,Census Tract 1009.29,VA,Chesterfield County,Virginia,CT,7638208,118239,-77.6442745,37.47635305,POINT (-77.64427449659254 37.476353050676224)
51,85,321202,1400000US51085321202,51085321202,3212.02,Census Tract 3212.02,VA,Hanover County,Virginia,CT,8887075,96758,-77.34349514,37.58490558,POINT (-77.34349514343835 37.58490558337123)
51,760,71004,1400000US51760071004,51760071004,710.04,Census Tract 710.04,VA,Richmond city,Virginia,CT,1304160,0,-77.52140919,37.50809808,POINT (-77.52140918967925 37.50809808484289)
51,41,100817,1400000US51041100817,51041100817,1008.17,Census Tract 1008.17,VA,Chesterfield County,Virginia,CT,5177878,0,-77.49978556,37.38463151,POINT (-77.49978556060498 37.38463150760887)
51,85,320400,1400000US51085320400,51085320400,3204,Census Tract 3204,VA,Hanover County,Virginia,CT,58245255,348336,-77.53119038,37.72350989,POINT (-77.53119038188602 37.72350988654313)
51,85,320601,1400000US51085320601,51085320601,3206.01,Census Tract 3206.01,VA,Hanover County,Virginia,CT,15250605,111816,-77.47144709,37.77593334,POINT (-77.471447092379 37.77593334367191)
51,41,100936,1400000US51041100936,51041100936,1009.36,Census Tract 1009.36,VA,Chesterfield County,Virginia,CT,6587688,164025,-77.64224285,37.52068898,POINT (-77.64224284993648 37.52068897767965)
51,85,321001,1400000US51085321001,51085321001,3210.01,Census Tract 3210.01,VA,Hanover County,Virginia,CT,6231222,46640,-77.35319382,37.62262564,POINT (-77.35319381731391 37.62262564206291)
51,760,61002,1400000US51760061002,51760061002,610.02,Census Tract 610.02,VA,Richmond city,Virginia,CT,1685098,568654,-77.43947253,37.52581857,POINT (-77.43947252998339 37.52581856918993)
51,41,100920,1400000US51041100920,51041100920,1009.2,Census Tract 1009.20,VA,Chesterfield County,Virginia,CT,3303860,0,-77.60239076,37.5124001,POINT (-77.60239075564184 37.51240009676803)
51,41,100107,1400000US51041100107,51041100107,1001.07,Census Tract 1001.07,VA,Chesterfield County,Virginia,CT,2973838,116776,-77.53518917,37.50805197,POINT (-77.53518916791029 37.50805197166218)
51,87,200124,1400000US51087200124,51087200124,2001.24,Census Tract 2001.24,VA,Henrico County,Virginia,CT,3101142,8566,-77.62223472,37.61613825,POINT (-77.6222347170696 37.61613825304584)
51,760,20900,1400000US51760020900,51760020900,209,Census Tract 209,VA,Richmond city,Virginia,CT,2740016,3961,-77.39797056,37.53285207,POINT (-77.39797055979933 37.53285207143234)
51,41,101004,1400000US51041101004,51041101004,1010.04,Census Tract 1010.04,VA,Chesterfield County,Virginia,CT,147020727,3155849,-77.73903567,37.33506438,POINT (-77.73903567030517 37.33506438395962)
51,41,101003,1400000US51041101003,51041101003,1010.03,Census Tract 1010.03,VA,Chesterfield County,Virginia,CT,116961644,1892001,-77.78210495,37.41900592,POINT (-77.78210494773694 37.41900592036033)
51,87,201502,1400000US51087201502,51087201502,2015.02,Census Tract 2015.02,VA,Henrico County,Virginia,CT,35854465,304915,-77.33376795,37.46556736,POINT (-77.33376795000886 37.46556736342452)
51,41,100928,1400000US51041100928,51041100928,1009.28,Census Tract 1009.28,VA,Chesterfield County,Virginia,CT,19928759,48635,-77.67962214,37.48918829,POINT (-77.6796221415788 37.48918829290356)
51,760,10300,1400000US51760010300,51760010300,103,Census Tract 103,VA,Richmond city,Virginia,CT,1238759,4723,-77.44334733,37.59396412,POINT (-77.44334732922013 37.59396412046083)
51,85,321300,1400000US51085321300,51085321300,3213,Census Tract 3213,VA,Hanover County,Virginia,CT,21864909,76078,-77.29680248,37.59112522,POINT (-77.29680248312577 37.59112521969857)
51,85,320801,1400000US51085320801,51085320801,3208.01,Census Tract 3208.01,VA,Hanover County,Virginia,CT,24569051,117420,-77.43517464,37.72101115,POINT (-77.43517463666346 37.72101115161248)
51,87,200418,1400000US51087200418,51087200418,2004.18,Census Tract 2004.18,VA,Henrico County,Virginia,CT,1349700,3100,-77.51315144,37.61902476,POINT (-77.51315144039752 37.61902475761247)
51,760,71003,1400000US51760071003,51760071003,710.03,Census Tract 710.03,VA,Richmond city,Virginia,CT,1431978,0,-77.51331267,37.51161927,POINT (-77.51331266576501 37.51161926704143)
51,87,200411,1400000US51087200411,51087200411,2004.11,Census Tract 2004.11,VA,Henrico County,Virginia,CT,2441894,38828,-77.52773459,37.63924298,POINT (-77.527734591198 37.639242981377805)
51,75,400400,1400000US51075400400,51075400400,4004,Census Tract 4004,VA,Goochland County,Virginia,CT,205971479,6533339,-77.94915119,37.72443114,POINT (-77.9491511873919 37.7244311350414)
51,41,100924,1400000US51041100924,51041100924,1009.24,Census Tract 1009.24,VA,Chesterfield County,Virginia,CT,12637166,60835,-77.69061582,37.52010733,POINT (-77.69061581887598 37.52010733359897)
51,85,320901,1400000US51085320901,51085320901,3209.01,Census Tract 3209.01,VA,Hanover County,Virginia,CT,16020141,32426,-77.35950464,37.65874207,POINT (-77.35950463689274 37.65874207463375)
