Unnamed: 0,w_tract,h_tract,workers,w_county,h_county,HomeX,HomeY,w_point,GEOIDHome,X,Y,WorkX,WorkY
69,51041100915,51036600300,2,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.63418207142635 37.50948348857848),51036600300,-77.63418207142635,37.50948348857848,-77.63418207,37.50948349
68,51041100915,51036600200,3,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.63418207142635 37.50948348857848),51036600200,-77.63418207142635,37.50948348857848,-77.63418207,37.50948349
67,51041100915,51036600100,3,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.63418207142635 37.50948348857848),51036600100,-77.63418207142635,37.50948348857848,-77.63418207,37.50948349
70,51041100919,51036600100,7,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.61338000513638 37.44792263319918),51036600100,-77.61338000513638,37.44792263319918,-77.61338001,37.44792263
72,51041100920,51036600300,2,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.60239075564184 37.51240009676803),51036600300,-77.60239075564184,37.51240009676803,-77.60239076,37.5124001
71,51041100920,51036600200,4,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.60239075564184 37.51240009676803),51036600200,-77.60239075564184,37.51240009676803,-77.60239076,37.5124001
75,51041100922,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.58524417998711 37.49648710474959),51036600300,-77.58524417998711,37.49648710474959,-77.58524418,37.4964871
74,51041100922,51036600200,5,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.58524417998711 37.49648710474959),51036600200,-77.58524417998711,37.49648710474959,-77.58524418,37.4964871
73,51041100922,51036600100,11,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.58524417998711 37.49648710474959),51036600100,-77.58524417998711,37.49648710474959,-77.58524418,37.4964871
76,51041100923,51036600200,2,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.5590567554096 37.486253061495475),51036600200,-77.5590567554096,37.486253061495475,-77.55905676,37.48625306
78,51041100924,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.69061581887598 37.52010733359897),51036600300,-77.69061581887598,37.52010733359897,-77.69061582,37.52010733
77,51041100924,51036600200,2,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.69061581887598 37.52010733359897),51036600200,-77.69061581887598,37.52010733359897,-77.69061582,37.52010733
80,51041100926,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.62368907127822 37.54395098791658),51036600200,-77.62368907127822,37.54395098791658,-77.62368907,37.54395099
79,51041100926,51036600100,1,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.62368907127822 37.54395098791658),51036600100,-77.62368907127822,37.54395098791658,-77.62368907,37.54395099
82,51041100928,51036600200,3,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.6796221415788 37.48918829290356),51036600200,-77.6796221415788,37.48918829290356,-77.67962214,37.48918829
81,51041100928,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.6796221415788 37.48918829290356),51036600100,-77.6796221415788,37.48918829290356,-77.67962214,37.48918829
83,51041100929,51036600100,1,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.64427449659254 37.476353050676224),51036600100,-77.64427449659254,37.476353050676224,-77.6442745,37.47635305
84,51041100930,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.63588051850031 37.49078573834989),51036600200,-77.63588051850031,37.49078573834989,-77.63588052,37.49078574
